event_id,round,player,points,tournament_points,opponent
1,2,Andrew Graber,204,8,Jeffrey Post
1,2,Batlomiej Przybysz,56,2,Daniel Allen
1,2,Daniel Allen,306,9,Batlomiej Przybysz
1,2,Dennis Raschke,159,7,Eric Kingsley
1,2,Eric Kingsley,25,4,Dennis Raschke
1,2,Benjamin Baldwin,44,4,Andrew Armbruster
1,2,Andrew Armbruster,171,7,Benjamin Baldwin
1,2,Timothy Surburg,132,3,Robert Coldwell
1,2,Robert Coldwell,311,8,Timothy Surburg
1,2,Brooke Kortenbusch,260,9,Jared Eslick-Coats
1,2,Jared Eslick-Coats,15,2,Brooke Kortenbusch
1,2,Ryder Curry,43,4,Matthew Moncrief
1,2,Matthew Moncrief,143,7,Ryder Curry
1,2,Nicholas Larson,76,6,Owen Evans
1,2,Owen Evans,68,5,Nicholas Larson
1,2,Michael Cox,220,7,Mariano Banchero
1,2,Mariano Banchero,104,4,Michael Cox
1,2,Nicholas Griffiths,158,7,Sean Newman
1,2,Sean Newman,36,4,Nicholas Griffiths
1,2,Lucas Woolard,235,5,Nathanial Beaver
1,2,Nathanial Beaver,248,6,Lucas Woolard
1,2,Christopher Dyson,106,3,Samuel Simon
1,2,Samuel Simon,280,8,Christopher Dyson
1,2,Aidan Broome,30,3,Joshua Gorhau
1,2,Joshua Gorhau,203,8,Aidan Broome
1,2,Daniel Unzeitig,271,9,James Godfrey
1,2,James Godfrey,0,2,Daniel Unzeitig
1,2,Bodhi Lovely,76,1,Jason Dedrick
1,2,Jason Dedrick,450,10,Bodhi Lovely
1,2,Aaron Hudson,187,6,Greg Fyfe
1,2,Greg Fyfe,142,5,Aaron Hudson
1,2,Andrew Doty,50,3,Nicholas Brown
1,2,Nicholas Brown,238,8,Andrew Doty
1,2,Jason Hughley,520,10,Matthew Chambers
1,2,Matthew Chambers,0,1,Jason Hughley
1,2,Ryan Neupert,56,4,Derek MacKinnon
1,2,Derek MacKinnon,145,7,Ryan Neupert
1,2,Eric Pearson,211,7,Ryan Kubryn
1,2,Ryan Kubryn,97,4,Eric Pearson
1,2,Christopher Cottrill,39,1,Mackenzie Dalla Lana
1,2,Mackenzie Dalla Lana,400,10,Christopher Cottrill
1,2,Scott Bellamy,400,10,Jacob Amos-Landgraf
1,2,Jacob Amos-Landgraf,35,1,Scott Bellamy
1,2,Eric Connors,0,5,Samuel Wang
1,2,Samuel Wang,0,6,Eric Connors
1,2,Tyler Szorcsik,100,5,Jordan Shettell
1,2,Jordan Shettell,147,6,Tyler Szorcsik
1,2,David Huber,97,6,Mathew Schlueter
1,2,Mathew Schlueter,82,5,David Huber
1,2,John Benedict,331,9,Adam Klopfenstein
1,2,Adam Klopfenstein,94,2,John Benedict
1,2,Matt Palo,139,4,Marcus Kubryn
1,2,Marcus Kubryn,244,7,Matt Palo
1,2,Paul Heaver,520,8,Michael Lyssy
1,2,Michael Lyssy,341,3,Paul Heaver
1,2,Justin Robbins,105,4,William Oder
1,2,William Oder,227,7,Justin Robbins
1,2,Justin Campeau,62,5,Aaron Ray
1,2,Aaron Ray,71,6,Justin Campeau
1,2,Royce Podeszwa,235,8,Josh Phipps
1,2,Josh Phipps,86,3,Royce Podeszwa
1,2,Paul Adler,285,6,Nathan Ray
1,2,Nathan Ray,283,5,Paul Adler
1,2,Forrest Weigel,54,4,William Brand
1,2,William Brand,118,7,Forrest Weigel
